impact_id,threat_id,asset_type,impact_type,min_value,likely_value,max_value,unit,confidence,source,last_updated
IA_T001_ENDPOINT_RECOVERY,T001,Endpoint,recovery,704358.0,1007727.0,2068285.0,INR,0.68,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_ENDPOINT_DOWNTIME,T001,Endpoint,downtime,4.0,7.0,13.0,hours,0.92,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_ENDPOINT_DATA_LOSS,T001,Endpoint,data_loss,1514582.0,2432559.0,3549131.0,INR,0.84,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_ENDPOINT_REGULATORY,T001,Endpoint,regulatory,876283.0,1431691.0,1975713.0,INR,0.83,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_ENDPOINT_REPUTATION,T001,Endpoint,reputation,1433401.0,2058358.0,4192095.0,INR,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_IDENTITY_SERVER_RECOVERY,T002,Identity Server,recovery,505240.0,934713.0,1939236.0,INR,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_IDENTITY_SERVER_DOWNTIME,T002,Identity Server,downtime,2.0,3.0,4.0,hours,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_IDENTITY_SERVER_DATA_LOSS,T002,Identity Server,data_loss,176193.0,327536.0,443687.0,INR,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_IDENTITY_SERVER_REGULATORY,T002,Identity Server,regulatory,152243.0,283842.0,418131.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_IDENTITY_SERVER_REPUTATION,T002,Identity Server,reputation,324418.0,695293.0,1327122.0,INR,0.8,Synthetic prototype assumption — alternative dataset,2026-09-15
I016,T002,Database,recovery,612987.0,830723.0,1262175.0,INR,0.69,Synthetic prototype assumption — alternative dataset,2026-09-15
I017,T002,Database,downtime,2.0,4.0,8.0,hours,0.75,Synthetic prototype assumption — alternative dataset,2026-09-15
I018,T002,Database,data_loss,1542765.0,2473141.0,4956746.0,INR,0.85,Synthetic prototype assumption — alternative dataset,2026-09-15
I019,T002,Database,regulatory,1003427.0,1539529.0,2666522.0,INR,0.84,Synthetic prototype assumption — alternative dataset,2026-09-15
I020,T002,Database,reputation,814401.0,1438700.0,2776590.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_CLOUD_WORKLOAD_RECOVERY,T002,Cloud Workload,recovery,770576.0,1244910.0,1833899.0,INR,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_CLOUD_WORKLOAD_DOWNTIME,T002,Cloud Workload,downtime,4.0,6.0,11.0,hours,0.84,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_CLOUD_WORKLOAD_DATA_LOSS,T002,Cloud Workload,data_loss,1275893.0,2508886.0,3414958.0,INR,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_CLOUD_WORKLOAD_REGULATORY,T002,Cloud Workload,regulatory,828318.0,1297624.0,2513257.0,INR,0.75,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_CLOUD_WORKLOAD_REPUTATION,T002,Cloud Workload,reputation,913457.0,1345418.0,2748357.0,INR,0.92,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_NETWORK_DEVICE_RECOVERY,T002,Network Device,recovery,512510.0,695562.0,1261090.0,INR,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_NETWORK_DEVICE_DOWNTIME,T002,Network Device,downtime,1.0,2.0,3.0,hours,0.82,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_NETWORK_DEVICE_DATA_LOSS,T002,Network Device,data_loss,1066559.0,2004395.0,4078757.0,INR,0.65,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_NETWORK_DEVICE_REGULATORY,T002,Network Device,regulatory,531529.0,778254.0,1323167.0,INR,0.72,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_NETWORK_DEVICE_REPUTATION,T002,Network Device,reputation,617553.0,1074343.0,2129734.0,INR,0.79,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_WEB_SERVER_RECOVERY,T002,Web Server,recovery,573852.0,889095.0,1433033.0,INR,0.77,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_WEB_SERVER_DOWNTIME,T002,Web Server,downtime,3.0,6.0,10.0,hours,0.83,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_WEB_SERVER_DATA_LOSS,T002,Web Server,data_loss,1073953.0,1702553.0,3322612.0,INR,0.77,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_WEB_SERVER_REGULATORY,T002,Web Server,regulatory,359206.0,730357.0,1172235.0,INR,0.68,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_WEB_SERVER_REPUTATION,T002,Web Server,reputation,360212.0,755183.0,1563608.0,INR,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_API_RECOVERY,T002,API,recovery,230770.0,473094.0,695269.0,INR,0.89,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_API_DOWNTIME,T002,API,downtime,2.0,3.0,5.0,hours,0.84,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_API_DATA_LOSS,T002,API,data_loss,173851.0,366428.0,500749.0,INR,0.68,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_API_REGULATORY,T002,API,regulatory,160529.0,289507.0,421496.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_API_REPUTATION,T002,API,reputation,302796.0,470860.0,769352.0,INR,0.69,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_APPLICATION_RECOVERY,T002,Application,recovery,247930.0,448032.0,618054.0,INR,0.9,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_APPLICATION_DOWNTIME,T002,Application,downtime,1.0,2.0,3.0,hours,0.92,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_APPLICATION_DATA_LOSS,T002,Application,data_loss,198927.0,423367.0,626471.0,INR,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_APPLICATION_REGULATORY,T002,Application,regulatory,123207.0,194021.0,308335.0,INR,0.81,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_APPLICATION_REPUTATION,T002,Application,reputation,242754.0,392372.0,532298.0,INR,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_ENDPOINT_RECOVERY,T002,Endpoint,recovery,825837.0,1456992.0,3003492.0,INR,0.67,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_ENDPOINT_DOWNTIME,T002,Endpoint,downtime,3.0,5.0,8.0,hours,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_ENDPOINT_DATA_LOSS,T002,Endpoint,data_loss,1071518.0,1812506.0,2543158.0,INR,0.77,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_ENDPOINT_REGULATORY,T002,Endpoint,regulatory,474905.0,769813.0,1216166.0,INR,0.9,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T002_ENDPOINT_REPUTATION,T002,Endpoint,reputation,488388.0,857292.0,1548186.0,INR,0.82,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_IDENTITY_SERVER_RECOVERY,T003,Identity Server,recovery,11115.0,18060.0,28205.0,INR,0.75,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_IDENTITY_SERVER_DOWNTIME,T003,Identity Server,downtime,1.0,2.0,3.0,hours,0.69,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_IDENTITY_SERVER_DATA_LOSS,T003,Identity Server,data_loss,44693.0,65096.0,110501.0,INR,0.68,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_IDENTITY_SERVER_REGULATORY,T003,Identity Server,regulatory,0.0,0.0,0.0,INR,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_IDENTITY_SERVER_REPUTATION,T003,Identity Server,reputation,31066.0,62786.0,104110.0,INR,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_DATABASE_RECOVERY,T003,Database,recovery,20150.0,32197.0,51384.0,INR,0.85,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_DATABASE_DOWNTIME,T003,Database,downtime,1.0,2.0,4.0,hours,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_DATABASE_DATA_LOSS,T003,Database,data_loss,32016.0,56188.0,111180.0,INR,0.94,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_DATABASE_REGULATORY,T003,Database,regulatory,0.0,0.0,0.0,INR,0.81,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_DATABASE_REPUTATION,T003,Database,reputation,37349.0,74253.0,139043.0,INR,0.77,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_CLOUD_WORKLOAD_RECOVERY,T003,Cloud Workload,recovery,19811.0,36962.0,61392.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_CLOUD_WORKLOAD_DOWNTIME,T003,Cloud Workload,downtime,0.0,1.0,2.0,hours,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_CLOUD_WORKLOAD_DATA_LOSS,T003,Cloud Workload,data_loss,25137.0,41685.0,82538.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_CLOUD_WORKLOAD_REGULATORY,T003,Cloud Workload,regulatory,0.0,0.0,0.0,INR,0.7,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_CLOUD_WORKLOAD_REPUTATION,T003,Cloud Workload,reputation,56881.0,77015.0,134722.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_NETWORK_DEVICE_RECOVERY,T003,Network Device,recovery,18421.0,26250.0,44706.0,INR,0.7,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_NETWORK_DEVICE_DOWNTIME,T003,Network Device,downtime,0.0,1.0,2.0,hours,0.79,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_NETWORK_DEVICE_DATA_LOSS,T003,Network Device,data_loss,17166.0,28850.0,47376.0,INR,0.82,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_NETWORK_DEVICE_REGULATORY,T003,Network Device,regulatory,0.0,0.0,0.0,INR,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_NETWORK_DEVICE_REPUTATION,T003,Network Device,reputation,31672.0,50627.0,99849.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_WEB_SERVER_RECOVERY,T003,Web Server,recovery,17206.0,28261.0,46764.0,INR,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_WEB_SERVER_DOWNTIME,T003,Web Server,downtime,1.0,2.0,3.0,hours,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_WEB_SERVER_DATA_LOSS,T003,Web Server,data_loss,51837.0,69310.0,138943.0,INR,0.81,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_WEB_SERVER_REGULATORY,T003,Web Server,regulatory,0.0,0.0,0.0,INR,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_WEB_SERVER_REPUTATION,T003,Web Server,reputation,30902.0,41687.0,68700.0,INR,0.73,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_API_RECOVERY,T003,API,recovery,28037.0,39498.0,75638.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_API_DOWNTIME,T003,API,downtime,1.0,2.0,3.0,hours,0.91,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_API_DATA_LOSS,T003,API,data_loss,30483.0,43159.0,67531.0,INR,0.67,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_API_REGULATORY,T003,API,regulatory,0.0,0.0,0.0,INR,0.77,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_API_REPUTATION,T003,API,reputation,20919.0,42933.0,87231.0,INR,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_APPLICATION_RECOVERY,T003,Application,recovery,17309.0,31869.0,44857.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_APPLICATION_DOWNTIME,T003,Application,downtime,1.0,1.0,1.0,hours,0.94,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_APPLICATION_DATA_LOSS,T003,Application,data_loss,26490.0,46909.0,70728.0,INR,0.72,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_APPLICATION_REGULATORY,T003,Application,regulatory,0.0,0.0,0.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_APPLICATION_REPUTATION,T003,Application,reputation,39892.0,64947.0,123875.0,INR,0.9,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_ENDPOINT_RECOVERY,T003,Endpoint,recovery,23727.0,33216.0,57677.0,INR,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_ENDPOINT_DOWNTIME,T003,Endpoint,downtime,1.0,2.0,4.0,hours,0.73,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_ENDPOINT_DATA_LOSS,T003,Endpoint,data_loss,27433.0,41711.0,58165.0,INR,0.91,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_ENDPOINT_REGULATORY,T003,Endpoint,regulatory,0.0,0.0,0.0,INR,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T003_ENDPOINT_REPUTATION,T003,Endpoint,reputation,37009.0,51725.0,76963.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_IDENTITY_SERVER_RECOVERY,T004,Identity Server,recovery,552443.0,910591.0,1344996.0,INR,0.8,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_IDENTITY_SERVER_DOWNTIME,T004,Identity Server,downtime,3.0,4.0,8.0,hours,0.95,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_IDENTITY_SERVER_DATA_LOSS,T004,Identity Server,data_loss,746506.0,1190021.0,2304465.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_IDENTITY_SERVER_REGULATORY,T004,Identity Server,regulatory,383665.0,519898.0,1026133.0,INR,0.92,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_IDENTITY_SERVER_REPUTATION,T004,Identity Server,reputation,1222565.0,1659032.0,2405900.0,INR,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_DATABASE_RECOVERY,T004,Database,recovery,421155.0,665300.0,1005849.0,INR,0.73,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_DATABASE_DOWNTIME,T004,Database,downtime,2.0,3.0,6.0,hours,0.75,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_DATABASE_DATA_LOSS,T004,Database,data_loss,410292.0,676135.0,1179451.0,INR,0.81,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_DATABASE_REGULATORY,T004,Database,regulatory,394650.0,609439.0,838540.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_DATABASE_REPUTATION,T004,Database,reputation,683459.0,1070754.0,1844476.0,INR,0.75,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_CLOUD_WORKLOAD_RECOVERY,T004,Cloud Workload,recovery,514199.0,738300.0,1312397.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_CLOUD_WORKLOAD_DOWNTIME,T004,Cloud Workload,downtime,4.0,5.0,8.0,hours,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_CLOUD_WORKLOAD_DATA_LOSS,T004,Cloud Workload,data_loss,989576.0,1386503.0,2111363.0,INR,0.67,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_CLOUD_WORKLOAD_REGULATORY,T004,Cloud Workload,regulatory,269414.0,586444.0,1221446.0,INR,0.84,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_CLOUD_WORKLOAD_REPUTATION,T004,Cloud Workload,reputation,733671.0,1100728.0,1525895.0,INR,0.9,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_NETWORK_DEVICE_RECOVERY,T004,Network Device,recovery,287986.0,607539.0,1218666.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_NETWORK_DEVICE_DOWNTIME,T004,Network Device,downtime,2.0,5.0,9.0,hours,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_NETWORK_DEVICE_DATA_LOSS,T004,Network Device,data_loss,625948.0,1132535.0,2220578.0,INR,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_NETWORK_DEVICE_REGULATORY,T004,Network Device,regulatory,170692.0,288346.0,599546.0,INR,0.91,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_NETWORK_DEVICE_REPUTATION,T004,Network Device,reputation,399915.0,674642.0,1386788.0,INR,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
I031,T004,Web Server,recovery,438277.0,736346.0,1298662.0,INR,0.9,Synthetic prototype assumption — alternative dataset,2026-09-15
I032,T004,Web Server,downtime,3.0,6.0,10.0,hours,0.77,Synthetic prototype assumption — alternative dataset,2026-09-15
I033,T004,Web Server,data_loss,789530.0,1059209.0,1586942.0,INR,0.65,Synthetic prototype assumption — alternative dataset,2026-09-15
I034,T004,Web Server,regulatory,316892.0,662775.0,1222808.0,INR,0.69,Synthetic prototype assumption — alternative dataset,2026-09-15
I035,T004,Web Server,reputation,707993.0,1251634.0,2173151.0,INR,0.94,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_API_RECOVERY,T004,API,recovery,429791.0,736718.0,1055724.0,INR,0.69,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_API_DOWNTIME,T004,API,downtime,3.0,4.0,6.0,hours,0.94,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_API_DATA_LOSS,T004,API,data_loss,1083623.0,1695893.0,3178508.0,INR,0.79,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_API_REGULATORY,T004,API,regulatory,255094.0,465930.0,700562.0,INR,0.82,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_API_REPUTATION,T004,API,reputation,940862.0,1303346.0,2476584.0,INR,0.68,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_APPLICATION_RECOVERY,T004,Application,recovery,566280.0,882978.0,1471356.0,INR,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_APPLICATION_DOWNTIME,T004,Application,downtime,3.0,6.0,12.0,hours,0.73,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_APPLICATION_DATA_LOSS,T004,Application,data_loss,1344219.0,2185639.0,3429099.0,INR,0.7,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_APPLICATION_REGULATORY,T004,Application,regulatory,553437.0,948254.0,1884310.0,INR,0.79,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_APPLICATION_REPUTATION,T004,Application,reputation,795888.0,1250826.0,2501833.0,INR,0.67,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_ENDPOINT_RECOVERY,T004,Endpoint,recovery,466351.0,668741.0,1071646.0,INR,0.92,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_ENDPOINT_DOWNTIME,T004,Endpoint,downtime,2.0,3.0,6.0,hours,0.81,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_ENDPOINT_DATA_LOSS,T004,Endpoint,data_loss,659676.0,1052871.0,1564643.0,INR,0.9,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_ENDPOINT_REGULATORY,T004,Endpoint,regulatory,321371.0,579131.0,948363.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T004_ENDPOINT_REPUTATION,T004,Endpoint,reputation,979790.0,1395640.0,2024089.0,INR,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_IDENTITY_SERVER_RECOVERY,T005,Identity Server,recovery,566767.0,974759.0,1815442.0,INR,0.75,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_IDENTITY_SERVER_DOWNTIME,T005,Identity Server,downtime,3.0,4.0,6.0,hours,0.7,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_IDENTITY_SERVER_DATA_LOSS,T005,Identity Server,data_loss,419813.0,754279.0,1470886.0,INR,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_IDENTITY_SERVER_REGULATORY,T005,Identity Server,regulatory,164237.0,227137.0,410276.0,INR,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_IDENTITY_SERVER_REPUTATION,T005,Identity Server,reputation,254677.0,529480.0,1027182.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_DATABASE_RECOVERY,T005,Database,recovery,456928.0,870371.0,1210979.0,INR,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_DATABASE_DOWNTIME,T005,Database,downtime,2.0,3.0,4.0,hours,0.77,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_DATABASE_DATA_LOSS,T005,Database,data_loss,266905.0,540490.0,1116060.0,INR,0.82,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_DATABASE_REGULATORY,T005,Database,regulatory,337035.0,457878.0,866710.0,INR,0.91,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_DATABASE_REPUTATION,T005,Database,reputation,483928.0,678818.0,1058528.0,INR,0.93,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_CLOUD_WORKLOAD_RECOVERY,T005,Cloud Workload,recovery,478895.0,662846.0,1323215.0,INR,0.74,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T005_CLOUD_WORKLOAD_DOWNTIME,T005,Cloud Workload,downtime,3.0,5.0,7.0,hours,0.79,Synthetic prototype assumption — alternative dataset,2026-09-15
